run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,66.803,0.5195,55.1,42.5,,,,,,none,0.011,62.178,2.723,1.88,3177.313,onnx,CPUExecutionProvider,{},False,1,True,006201.png,,,,88.964753,88.964753,88.964753,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
1,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,63.288,0.734,83.3,43.7,,,,,,none,0.018,59.676,2.531,1.064,63.469,onnx,CPUExecutionProvider,{},False,3,True,007377.png,,,,1.777132,1.777132,1.777132,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
2,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,85.362,0.734,83.3,43.7,,,,,,none,11.344,79.763,4.237,1.341,96.886,onnx,CPUExecutionProvider,{},False,6,False,006587.png,,,,2.712794,2.712794,2.712794,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
3,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,87.268,0.7925,91.1,43.7,,,,,,none,0.175,81.275,4.125,1.847,87.656,onnx,CPUExecutionProvider,{},False,2,False,006905.png,,,,2.454357,2.454357,2.454357,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
4,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,85.627,0.797,91.7,43.7,,,,,,none,0.173,79.629,4.182,1.798,86.019,onnx,CPUExecutionProvider,{},False,2,False,007244.png,,,,2.408526,2.408526,2.408526,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
5,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,87.541,0.7933,91.2,43.7,,,,,,none,0.183,81.278,4.065,2.18,87.952,onnx,CPUExecutionProvider,{},False,5,False,007031.png,,,,2.46265,2.46265,2.46265,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
6,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,85.392,0.797,91.7,43.7,,,,,,none,0.126,81.167,2.558,1.652,85.717,onnx,CPUExecutionProvider,{},False,2,False,006369.png,,,,2.400087,2.400087,2.400087,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
7,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,88.601,0.728,82.5,43.7,,,,,,none,0.177,82.013,4.545,2.025,88.983,onnx,CPUExecutionProvider,{},False,3,False,006254.png,,,,2.491513,2.491513,2.491513,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
8,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,88.771,0.6402,70.8,43.7,,,,,,none,0.149,82.805,3.54,2.409,89.121,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,2.495382,2.495382,2.495382,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
9,0,adaptive,moderate,0.5,process_steady_v3,7,,SMALL,82.562,0.7895,90.7,43.7,,,,,,none,0.199,77.587,3.056,1.904,82.976,onnx,CPUExecutionProvider,{},False,3,False,006840.png,,,,2.323328,2.323328,2.323328,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
