run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,434.628,0.122,1.9,43.1,,,,,,none,0.214,398.353,33.3,2.944,2562.453,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,71.748673,71.748673,71.748673,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
1,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,396.327,0.514,53.6,44.8,,,,,,none,0.018,387.979,5.945,2.379,396.796,onnx,CPUExecutionProvider,{},False,6,True,007377.png,,,,11.11028,11.11028,11.11028,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
2,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,432.18,0.5272,55.4,44.7,,,,,,none,7.872,423.535,5.646,2.977,440.492,onnx,CPUExecutionProvider,{},False,8,False,006587.png,,,,12.333776,12.333776,12.333776,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
3,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,420.891,0.5448,57.7,44.8,,,,,,none,0.15,412.473,6.322,2.075,421.455,onnx,CPUExecutionProvider,{},False,2,False,006905.png,,,,11.800737,11.800737,11.800737,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
4,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,61.33,0.5062,52.6,44.7,,,,,,none,0.392,58.08,1.919,1.314,61.87,onnx,CPUExecutionProvider,{},False,2,False,007244.png,,,,1.732363,1.732363,1.732363,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
5,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,72.279,0.5062,52.6,44.7,,,,,,none,0.164,68.362,2.022,1.877,72.653,onnx,CPUExecutionProvider,{},False,5,False,007031.png,,,,2.03429,2.03429,2.03429,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
6,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,72.938,0.7422,84.0,44.9,,,,,,none,0.153,68.824,3.168,0.928,73.249,onnx,CPUExecutionProvider,{},False,2,False,006369.png,,,,2.050986,2.050986,2.050986,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
7,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,67.274,0.5945,64.3,44.9,,,,,,none,0.161,63.547,1.91,1.801,67.616,onnx,CPUExecutionProvider,{},False,3,False,006254.png,,,,1.893254,1.893254,1.893254,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
8,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,70.081,0.587,63.3,44.9,,,,,,none,0.165,65.955,2.806,1.303,70.387,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,1.970833,1.970833,1.970833,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
9,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,69.862,0.617,67.3,44.9,,,,,,none,0.158,66.355,2.62,0.869,70.139,onnx,CPUExecutionProvider,{},False,3,False,006840.png,,,,1.963895,1.963895,1.963895,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
10,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,69.146,0.4948,51.0,44.9,,,,,,none,0.172,64.672,2.896,1.56,69.496,onnx,CPUExecutionProvider,{},False,1,False,007416.png,,,,1.945896,1.945896,1.945896,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
