run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,burst,0.85,process_isolated_burst_v2,7,0,NANO,29.462,0.8187,94.8,43.1,,,,,,none,1.454,24.908,1.772,2.76,3797.894,onnx,CPUExecutionProvider,{},False,1,True,006201.png,,,,106.341024,106.341024,106.341024,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
1,0,adaptive,burst,0.85,process_isolated_burst_v2,7,1,NANO,24.158,0.74,83.9,44.3,,,,,,none,0.019,20.586,2.814,0.736,24.329,onnx,CPUExecutionProvider,{},False,2,False,007377.png,,,,0.681201,0.681201,0.681201,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
2,0,adaptive,burst,0.85,process_isolated_burst_v2,7,2,NANO,21.248,0.8608,100.0,44.3,,,,,,none,16.861,17.774,2.611,0.845,38.245,onnx,CPUExecutionProvider,{},False,4,False,006587.png,,,,1.070863,1.070863,1.070863,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
3,0,adaptive,burst,0.85,process_isolated_burst_v2,7,3,NANO,20.616,0.8608,100.0,44.3,,,,,,none,0.152,17.675,2.29,0.635,20.909,onnx,CPUExecutionProvider,{},False,1,False,006905.png,,,,0.585438,0.585438,0.585438,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
4,0,adaptive,burst,0.85,process_isolated_burst_v2,7,4,NANO,27.608,0.8608,100.0,44.3,,,,,,none,0.143,24.35,2.494,0.746,27.897,onnx,CPUExecutionProvider,{},False,1,False,007244.png,,,,0.781105,0.781105,0.781105,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
5,0,adaptive,burst,0.85,process_isolated_burst_v2,7,5,NANO,21.524,0.861,100.0,44.4,,,,,,none,0.181,17.805,2.885,0.813,21.843,onnx,CPUExecutionProvider,{},False,3,False,007031.png,,,,0.611607,0.611607,0.611607,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
6,0,adaptive,burst,0.85,process_isolated_burst_v2,7,6,NANO,20.764,0.861,100.0,44.4,,,,,,none,0.163,17.204,2.801,0.732,21.072,onnx,CPUExecutionProvider,{},False,2,False,006369.png,,,,0.59003,0.59003,0.59003,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
7,0,adaptive,burst,0.85,process_isolated_burst_v2,7,7,NANO,20.345,0.861,100.0,44.4,,,,,,none,0.137,17.375,2.303,0.648,20.627,onnx,CPUExecutionProvider,{},False,1,False,006254.png,,,,0.577553,0.577553,0.577553,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
8,0,adaptive,burst,0.85,process_isolated_burst_v2,7,8,NANO,20.897,0.861,100.0,44.4,,,,,,none,0.158,17.423,2.479,0.977,21.213,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,0.593975,0.593975,0.593975,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
9,0,adaptive,burst,0.85,process_isolated_burst_v2,7,9,NANO,22.746,0.861,100.0,44.4,,,,,,none,0.151,19.488,2.488,0.754,23.038,onnx,CPUExecutionProvider,{},False,2,False,006840.png,,,,0.645064,0.645064,0.645064,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
