image,frame_sha256,policy,policy_label,min_conf,load_profile,gt_vru,detected_vru,gt_vru_streak,lock_before,lock_after,tier,latency_ms,pressure,load_injector,load_worker_processes,backend
005981.png,2613688c0721e1d0294521cac7bb4235efea1023cd79aee8157d06a8cbcb798d,safety,VRU-retention,0.25,moderate,False,False,0,False,False,SMALL,46.696,0.5136,process_steady_v3,15,onnx
005982.png,bffd3519cfa47a49606bc16235a51305c9af949d532ca0f3cdb87f6953a69250,safety,VRU-retention,0.25,moderate,True,False,1,False,False,SMALL,39.849,0.4862,process_steady_v3,15,onnx
005983.png,4993cf33d6025663e60a00d6db403163d7e6af78fde9c2082d80a02a40455c7c,safety,VRU-retention,0.25,moderate,False,False,0,False,False,SMALL,56.335,0.4862,process_steady_v3,15,onnx
005984.png,70fc1ed55ecd31c123b6b8d01a4387180e2cd2d40a31b78b9c9b1dde5ee89f52,safety,VRU-retention,0.25,moderate,True,False,1,False,False,SMALL,42.801,0.5174,process_steady_v3,15,onnx
005985.png,7c50282776aa35f6cb38c8ab0dd3437a8ee9c7c6a422b151da5d145c55433522,safety,VRU-retention,0.25,moderate,True,True,2,False,True,SMALL,48.21,0.5174,process_steady_v3,15,onnx
005986.png,f219508643e518a3fd57b22bba2e5e652f686e1006e09185991674990c004f0c,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,32.977,0.5105,process_steady_v3,15,onnx
005987.png,415b27bbb104f5f19a42bf53c029534bc7f28195caf6736a19db55cb0da2d832,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,48.184,0.5105,process_steady_v3,15,onnx
005988.png,69f98a14640ff48fa041db547c67ed978bcde78bbc2211f3a2d779c7c1c65b41,safety,VRU-retention,0.25,moderate,True,True,1,True,True,SMALL,56.385,0.5339,process_steady_v3,15,onnx
005989.png,bc5445c21144f55573ebe54f333dc9fd1e8234f680be07c0f09db3697e59b394,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,54.816,0.5339,process_steady_v3,15,onnx
005990.png,c511c28547302598ad2a8804b1e7ecc83e9dbfd7937fe67018939e9c0b0e3ef0,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,50.679,0.5135,process_steady_v3,15,onnx
005991.png,1245170b0edfc2c5996a4d7fc365d1808947c04896ef5ace88e1c403234f7b59,safety,VRU-retention,0.25,moderate,True,False,1,True,True,SMALL,40.469,0.5693,process_steady_v3,15,onnx
005992.png,128de214a46505f42329059a2f25b773f393f6ca4d2185eac45288801cd3b129,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,36.183,0.5693,process_steady_v3,15,onnx
005993.png,76826eb34180fb628b100a5b61c9fb747415a7bda98bee614937c5be179c8e6a,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,49.833,0.5609,process_steady_v3,15,onnx
005994.png,9e3f9d42223d03597fc187e9307f33f9efc998a33577ea61ed504ea1e80ee27b,safety,VRU-retention,0.25,moderate,True,True,1,True,True,SMALL,49.293,0.542,process_steady_v3,15,onnx
005995.png,2e599e1595309f71964b097546eeb8fc5ce9b9313d06dde52f5ea6ef3e459992,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,56.597,0.542,process_steady_v3,15,onnx
005996.png,c9c683da9a3a7fc03b4e63e853b04084169d815573cd420308209d50599c54cf,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,49.731,0.5273,process_steady_v3,15,onnx
005997.png,ea2dc0668b5265bee50dd5a89796c56777b7e96af26e74ca89f313b45ada4fd4,safety,VRU-retention,0.25,moderate,True,False,1,True,True,SMALL,52.722,0.5273,process_steady_v3,15,onnx
005998.png,b05268b65f1d40206a8296e23ac80e75f470640c4bd272dd72d4dee579d3d2e8,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,53.197,0.5609,process_steady_v3,15,onnx
005999.png,2d244e80497fb3038cec99ed74625cbda2ecee4062a493dda127190fe54d5808,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,43.348,0.5357,process_steady_v3,15,onnx
006000.png,a0a2c50c3c18e40dec00427e7f91d07f7d829d395cee95485d5ef6ca274ec015,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,43.755,0.5357,process_steady_v3,15,onnx
006001.png,e7ffca2bda6c5a964c8a6e696d89a382dadac19a1f79231ae73fd48e93ff0911,safety,VRU-retention,0.25,moderate,False,True,0,True,True,SMALL,40.62,0.5357,process_steady_v3,15,onnx
006002.png,d77207fc8fe685cf14b8ab1e4430ef26ebc316bfe0acc47f6f20578f30ea63a7,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,35.555,0.5357,process_steady_v3,15,onnx
006003.png,67222dfb533470c208c7ddb489bec53a49f7ea6477cc592ae71f793d1f5fd431,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,58.021,0.5453,process_steady_v3,15,onnx
006004.png,77c4cd84b581d531bdaa2bbaafd2e9fceaec7ff6bd685ad9d6e01e7891a075cf,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,38.763,0.5453,process_steady_v3,15,onnx
006005.png,26a82327ad53d5b38c060c0c64339dad2e5819a0be12ac6d43b3a544f8d3e3ef,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,44.957,0.5177,process_steady_v3,15,onnx
006006.png,b6b795a31cd4e9787ffafb09d0ea2db4bb8319f1cd7a8e9d7970dfb8b2404f22,safety,VRU-retention,0.25,moderate,True,True,1,True,True,SMALL,39.618,0.5528,process_steady_v3,15,onnx
006007.png,f0f9a353ceed4b539b6b981d59f79c60612697fe04adc001e52220f4af9c61db,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,39.771,0.5528,process_steady_v3,15,onnx
006008.png,4046006bb3c9135764e4cc74cf215092a25b1330ad4ad8d1aebfdea874358fa6,safety,VRU-retention,0.25,moderate,False,True,0,True,True,SMALL,44.307,0.5198,process_steady_v3,15,onnx
006009.png,2ffc4e19f0a74c6fcd3112c5d0964d6cfbf38d0d5336dc0f8ef942743d388190,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,57.576,0.5198,process_steady_v3,15,onnx
006010.png,181312045ce9ae4a47c46d5a5c95b47d3f7d09f8e51476fb4495c19daf38c113,safety,VRU-retention,0.25,moderate,True,True,1,True,True,SMALL,47.734,0.5408,process_steady_v3,15,onnx
006011.png,8603ab6786d89085e3f049fbb9f8b90fd0ddc43c6afb360f2b7e1171ba5e8e77,safety,VRU-retention,0.25,moderate,True,False,2,True,True,SMALL,51.809,0.5408,process_steady_v3,15,onnx
006012.png,d20c86e73e24055bb887d3c654b562a35355aa751d2fd338be622a871816ed29,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,49.21,0.5264,process_steady_v3,15,onnx
006013.png,f8a3b3b0e91e0b5b8caf7c3cc05cdb75dc6e27c6a90d20343d79d8ec39c3831f,safety,VRU-retention,0.25,moderate,False,False,0,True,True,SMALL,37.952,0.5066,process_steady_v3,15,onnx
